Food_Item,Calories,Protein_g,Fat_g,Carbs_g
cumin pulao (jeera/zeera pulao),135.24,2.47,3.2,23.61
peas pulao (matar pulao),108.87,3.89,1.9,18.42
split bengal gram dal and vegetable pulao (channa dal and vegetable pulao),116.53,3.6,2.3,19.72
black channa pulao/ bengal gram pulao (kale chane ka pulao),125.51,3.44,2.58,21.55
mutton pulao,130.77,6.52,10.78,11.26
chicken pulao,108.24,6.07,8.48,11.17
mexican rice,120.57,4.62,4.88,14.21
plain khitchdi (plain khichri/khichdi),57.03,1.72,1.01,10.04
instant idli (with semolina),247.29,9.16,3.61,43.4
plain dosa,380.91,10.34,8.43,64.08
masala dosa mixed vegetable fillings,144.53,4.84,3.26,23.02
masala dosa paneer fillings,243.12,10.31,8.84,29.76
uttapam,255.95,6.18,9.03,36.28
appam,267.7,3.12,22.63,13.28
beans and macaroni,136.08,4.58,7.01,14.24
spaghetti bolognese,97.43,9.35,9.51,10.04
meat and macaroni casserole,161.55,9.15,10.17,16.12
spaghetti with meat balls and tomato sauce,158.13,5.61,10.64,10.46
spaghetti with paneer balls and tomato sauce,158.54,3.95,10.44,12.72
lasagne with meat sauce,63.38,2.9,3.43,5.38
lasagne with vegetables,49.23,1.71,2.16,5.9
home made egg noodles,240.84,6.55,4.37,42.92
sour lentils (khatti dal),34.79,2.22,0.12,6.04
urad special dehusked,69.43,3.14,2.17,8.86
arhar with spinach (arhar dal aur palak),52.84,2.05,2.76,4.77
moong dal with vadi,24.08,0.4,2.05,1.0
rasam with tamarind (puli rasam/ chintapandu rasam/ charu/saaru),26.74,1.13,0.88,3.37
rasam with lemon (nimmakaya rasam/nimmakaya charu/elumichai rasam/nimbe hannina saaru),24.41,1.11,0.87,2.85
green gram whole with baghar (sabut moong dal with tadka),63.43,3.23,2.48,6.8
urad sabut special,79.39,2.33,5.46,5.03
kabuli channa curry,68.57,2.92,3.06,7.63
besan gatte curry,189.38,7.75,10.72,16.26
dry masala chops,135.07,9.08,9.54,3.3
mutton korma,115.64,7.09,8.54,2.53
shahi keema kofta curry,418.13,4.14,43.83,1.73
minced meat ball curry,109.79,6.82,7.85,2.86
boti kebab,132.86,9.22,9.27,3.06
mutton seekh kebab,133.94,11.25,8.43,3.11
indian lamb and egg curry (nargisi kofta),335.75,3.84,34.7,2.07
soya chunks sweet and sour (nutrinugget sweet and sour),500.94,2.85,55.99,3.27
soya chunks korma (nutrinugget korma),131.43,3.86,9.5,7.67
mushroom matar,70.77,2.79,4.11,5.33
soya chunks and peas (nutrinugget matar),82.62,3.03,5.11,5.82
vegetable yakhni,406.06,1.18,43.8,1.94
spinach mushroom (palak mushroom),47.63,1.94,2.96,2.95
vegetarian nargisi kofta curry,332.15,2.29,32.94,6.58
roast chicken,199.9,20.49,13.06,0.1
shahi chicken masala,163.7,9.82,12.02,4.07
tomato chicken,111.68,10.57,6.71,2.13
creamy chicken,152.87,13.52,9.57,3.13
broccoli chicken ala king,119.56,7.97,7.57,5.34
ginger chicken,129.17,8.24,8.24,5.6
chicken sweet and sour,445.09,6.92,47.59,2.67
chicken korma,147.96,9.83,9.67,5.43
bengal fish curry (bengali machli curry),109.43,7.26,7.03,4.42
fish finger,542.9,5.66,55.82,4.47
fish in coconut milk (nariyal ke doodh ke saath machli),86.21,8.66,4.43,2.73
prawn curry (with coconut) (jhinga curry),109.55,8.54,6.93,3.1
baked stuffed fish,121.96,16.14,5.43,2.12
fish pie,120.9,9.25,5.77,7.74
crispy baked fish,138.4,10.95,6.41,9.59
fish souffle,139.71,10.51,8.55,5.14
potato curry (aloo ki sabzi),89.56,1.52,4.47,10.42
egg curry (anda curry),117.52,5.38,8.81,4.03
vegetable curry with coconut,83.07,2.77,4.66,7.19
curd with potatoes (dahi aloo),59.9,1.56,2.72,7.15
potato kofta curry (aloo kofta curry),455.4,0.56,49.08,2.78
yam kofta curry (zimikand/suran kofta curry),322.88,0.71,33.84,3.75
jackfruit kofta curry (kathal ka kofta curry),321.08,0.8,33.83,3.17
spinach and potato (palak aloo),57.17,1.63,2.82,5.91
mooli bhujia,91.2,1.69,7.25,4.74
bathua bhujia,90.9,2.26,7.29,3.63
cabbage rolls (dry) ((pattagobhi rolls) (dry)),142.48,8.21,9.36,6.09
cabbage rolls (curry) ((pattagobhi rolls)(curry)),124.63,5.76,8.17,7.03
dry arbi (sookhi arbi),134.95,2.12,8.97,11.11
masala arbi,185.38,3.01,11.9,16.16
peas brinjal bhartha (matar baingan bhartha),84.55,2.05,6.05,5.02
okra/lady's fingers fry (bhindi sabzi/sabji/subji),110.81,1.83,9.27,4.5
crispy okra/crispy lady's fingers (karare bhindi),657.76,1.91,70.4,4.35
beans foogath,105.06,2.03,9.22,3.26
stuffed bittergourd (wet) (bharwa karele),162.36,1.36,15.24,4.68
jackfruit/kathal (dry),488.97,0.93,51.78,4.56
yam fried (zimikand/suran fried),491.76,0.79,51.79,5.47
"cauliflower, pea and potato bhujia (phoolgobhi, matar aur aloo bhujia)",95.67,2.75,5.54,8.23
vegetable jalfrezi,68.48,1.4,4.38,5.43
vegetables stir fry,30.78,1.04,1.47,3.19
broccoli delight,40.7,2.49,2.48,2.34
dhansak (vegetarian),82.8,3.32,4.18,7.28
cauliflower basket,90.95,5.21,5.88,3.97
stuffed bottle gourd (stuffed ghiya/lauki),93.19,5.84,5.8,4.36
ducheese potato,140.54,3.6,9.01,10.94
roast potatoes,87.32,1.53,2.35,14.52
stuffed baked potatoes,100.2,3.82,4.39,11.03
potato nests,111.62,5.71,4.77,11.05
parsley potato,119.51,1.49,6.28,13.81
creamed spinach and mushroom,419.62,2.28,44.14,3.17
fricassee of mushroom,106.66,3.65,6.63,8.13
cauliflower au gratin,145.9,4.45,10.2,9.13
vegetable and cheese pie,126.88,4.03,8.28,8.76
spinach souffle,150.18,7.36,10.52,6.27
beetroot and egg salad (chukandar aur ande ka salad),84.92,3.36,6.45,3.4
sour cream potato salad,121.9,2.89,8.13,9.05
tossed green salad,49.88,1.33,3.24,3.82
spring basket salad,160.46,3.36,11.3,11.61
cucumber and yogurt salad (kheere aur dahi ka salad),36.13,2.09,0.93,4.72
chicken and tomato towers,100.55,6.9,6.99,2.36
jellied sunshine fruit salad,48.86,5.85,0.85,4.21
tomato aspic,50.37,6.87,0.26,5.02
frozen frosty fruit salad (phalon ka salaad),103.51,1.68,4.17,15.61
french dressing,733.77,0.32,79.65,3.68
mayonnaise without eggs,329.05,2.13,33.84,3.98
curd dressing,78.8,5.59,2.9,8.03
carrot raita (gajar ka raita),64.78,4.14,2.19,7.19
pumpkin raita (kaddu ka raita),55.6,3.74,1.88,6.02
mint and peanut raita (pudinay aur moongfali ka raita),112.05,7.05,6.19,7.31
spinach raita (palak ka raita),52.75,3.95,1.86,5.06
bathua raita,54.4,4.13,1.76,5.31
pineapple raita (ananas ka raita),67.74,3.9,2.02,8.62
banana raita (kele ka raita),89.03,4.13,2.07,13.51
mango raita (aam ka raita),67.37,3.9,2.14,8.23
guava raita (amarood ka raita),64.36,4.19,2.07,7.27
grapes raita (angoor ka raita),72.59,3.98,2.07,9.66
bottle gourd kheer (ghiya/lauki kheer),84.07,2.7,3.86,10.0
pumpkin kheer (kaddu ki kheer),86.35,2.76,3.86,10.44
apple kheer (seb ki kheer),81.3,2.14,3.18,11.34
caramel custard (baked),122.7,5.11,5.01,14.95
vanilla ice cream without egg,228.67,2.69,18.15,14.21
vanilla ice cream with egg,214.85,4.16,17.02,11.71
strawberry ice cream,215.61,4.15,16.96,12.26
chocochip ice cream,241.45,4.23,17.93,16.75
choconut ice cream,273.96,5.04,18.49,23.13
pear chocholate sunday,183.49,2.08,13.11,15.02
chocolate sauce,263.2,1.91,10.39,43.21
coffee ice cream,150.62,3.15,9.43,14.09
coffee pear alaska,203.99,2.88,13.22,19.36
crunchy butterscotch,277.32,3.11,20.99,19.92
peach melba ice cream,200.85,2.06,14.51,16.31
vanilla ice cream with apples in hot cherry sauce,196.32,1.73,11.45,22.75
grape and orange whip,57.39,1.41,2.62,6.72
honey banana cream,125.49,2.78,6.68,13.64
raspberry bavarian cream,150.1,3.34,7.88,17.82
fruit delight,107.09,2.09,7.09,9.11
creamy chocolate mousse,230.52,6.85,18.16,9.53
cold lemon souffle,169.87,5.89,9.78,15.62
cold orange souffle,173.19,5.94,9.82,16.27
cold pineapple souffle,181.22,6.23,10.39,16.85
cold vanilla souffle,179.54,6.22,10.32,16.29
cold chocolate souffle,187.53,6.37,10.86,17.22
stewed fruit (with pear),74.32,0.25,0.32,18.22
apricot fool,240.79,1.54,11.35,33.64
pavlova,200.6,1.84,12.29,21.84
apple crumb pudding,220.85,1.54,8.87,35.17
steamed cake with chocolate sauce,301.91,4.49,19.01,29.06
hot lemon souffle,155.25,5.29,7.93,16.31
gulab jamun with milk powder,471.15,0.85,40.15,28.24
chum chum,130.05,1.52,1.92,28.27
dil bahar,130.05,1.52,1.92,28.27
rasbhari,130.05,1.52,1.92,28.27
rajbogh,133.7,1.71,2.28,28.16
rasgulla,118.64,1.38,1.75,25.79
rasmalai,135.55,1.61,2.11,29.17
khoa coconut burfi,411.45,9.98,26.01,36.55
danedar burfi,102.68,3.24,4.72,12.33
semolina burfi (suji/rava burfi),348.67,3.47,16.86,47.1
pumpkin coconut burfi (kaddu aur nariyal ki burfi),186.18,1.75,12.66,17.02
khoa ladoo,396.02,12.21,24.09,34.43
wheat and gram flour ladoo (atta besan ladoo),501.7,9.38,29.86,50.5
semolina ladoo with nuts (suji/rava ladoo with nuts),441.84,5.44,25.45,48.02
sesame chickpeas brittle (til aur channe ki chikki),282.74,8.5,4.66,50.49
murmura chikki,253.82,2.12,0.32,59.59
masala onion pakora/pakoda (pyaaz ke pakode),551.64,2.05,57.61,6.48
masala green chilli pakora/pakoda (hari mirch kay pakode),668.76,2.22,71.01,5.55
chicken pakora/pakoda,590.09,6.03,60.98,4.55
fish pakora/pakoda,577.03,5.97,59.52,4.55
paneer cutlet,672.2,4.59,69.38,7.62
sago cutlet/vadas (sabudana cutlet/vadas),558.76,0.56,56.97,11.23
poshtik cutlet,496.45,2.0,50.94,7.39
egg cutlet (anda cutlet),575.02,2.45,60.25,5.77
minced meat cutlet,531.86,5.1,54.47,5.61
vegetable samosa,443.11,2.21,42.22,13.22
plain urad dal vada (uzunne vada/minapa garelu/ulundu vadai/medu vada),745.5,4.39,76.32,9.7
masala urad dal vada,703.78,4.32,71.62,9.93
khaman (dhokla),54.73,1.92,2.8,5.36
instant dhokla,207.11,7.66,9.37,24.11
tomato ginger chutney (tamatar adarak ki chutney),44.66,1.05,0.32,9.11
mint tomato chutney (pudinay aur tamatar ki chutney),43.65,1.53,0.36,8.22
coriander chutney (hare dhaniye ki chutney),42.86,1.38,0.37,8.16
gooseberry chutney (amla chutney),43.02,1.44,0.62,8.83
walnut chutney (akhrot ki chutney),370.43,9.44,33.46,8.91
saunth/sonth chutney with ginger,84.22,0.28,0.11,20.62
gun powder chutney,312.34,21.55,2.67,47.65
dessicated coconut chutney (sookhe kase nariyal ki chutney),346.36,12.88,15.88,36.72
curd mint dip,76.13,4.82,2.44,9.11
curd vegetable dip,56.21,3.88,1.94,6.04
mayonnaise vegetable dip,241.27,3.01,23.44,4.8
tomato and cucumber sandwich (tamatar aur kheere ka sandwich),150.68,4.03,6.31,20.51
tomato sandwich (grilled),189.92,6.26,9.39,21.29
french sandwich (toasted),186.75,6.82,11.51,14.82
peanut butter cucumber sandwich,243.33,9.04,10.56,29.76
mint and peanut sandwich,273.59,7.18,13.88,31.83
spicy chutney sandwich,249.58,8.74,9.58,34.03
chicken walnut sandwich (chicken aur akhrot ke sandwich),285.78,12.58,16.77,22.62
rolled sandwich,293.07,6.45,15.29,34.69
ribbon sandwich,239.26,6.26,13.37,24.76
checker board sandwich,348.37,7.37,24.65,25.94
submarine sandwich,216.92,6.09,15.32,13.6
cheese open sandwich,274.07,9.84,14.24,28.42
sunset and sunrise open sandwich,241.31,8.58,15.14,18.89
danish luncheon sandwich,193.82,9.03,10.1,17.77
chicken and corn open sandwich,188.16,8.63,8.83,19.21
chocolate sponge cake,239.86,9.13,5.51,39.54
chocolate swiss roll,306.08,6.01,19.76,26.97
lemon curd filling,225.62,3.43,12.58,26.41
jam filling,184.62,0.0,0.0,46.15
chocolate pastry,243.37,7.05,10.12,32.24
assorted pastry,230.74,6.78,8.91,31.99
orange gateau,178.05,4.78,6.02,27.01
black forest gateau,217.82,5.94,8.58,30.57
lemon cake,373.85,5.29,20.63,43.1
dundee cake,396.62,7.78,22.7,41.4
victorian sandwich cake,373.09,5.18,19.83,44.74
chocolate eggless cake,312.01,6.66,13.19,43.45
orange eggless cake,355.62,7.16,13.82,52.65
chocolate glace icing,436.29,3.22,20.8,62.43
butter icing,500.72,0.19,25.37,71.64
chocolate butter icing,469.59,3.21,24.77,61.72
almond biscuit (badam ke biscuit),407.74,6.25,19.7,52.14
orange biscuit,354.78,3.63,11.01,62.11
gingerman biscuit,357.43,6.26,12.73,55.24
coffee drops,443.07,7.57,27.16,43.06
christmas biscuit,406.07,5.67,15.88,60.97
christmas wreath biscuit,386.05,5.43,15.01,58.07
christmas bell biscuit,404.85,5.66,15.84,60.79
christmas star biscuit,392.03,3.54,10.04,74.54
christmas tree biscuit,385.63,5.43,15.0,58.41
chocolate cream shells,427.17,5.1,19.34,59.26
jelly biscuit,404.61,4.23,19.33,55.24
cherry and walnut cookies,422.6,5.63,18.75,59.35
cheese straws,382.0,9.83,24.28,30.61
butterfly biscuit,341.45,9.98,22.11,25.33
flan pastry,445.8,6.72,25.04,47.84
fruit flan,261.35,3.3,12.48,34.71
orange cream flan,280.28,4.73,13.59,36.16
fruit puree tart,286.5,3.35,16.83,30.42
apple banana pie,243.99,3.13,11.39,32.12
lemon chiffon pie,259.31,4.88,14.52,27.63
orange chiffon pie,207.57,3.89,11.16,23.14
cream buns,215.74,4.45,15.81,14.16
savoury puffs,190.79,9.51,15.24,10.8
choux swans,216.34,4.35,15.6,14.92
potato aigrettes,530.03,2.35,54.24,8.01
cream horns,408.23,3.42,33.55,23.12
savoury cheese horns,295.15,5.66,20.71,21.38
paneer patties,338.58,7.6,23.96,22.79
vegetable patties,261.92,4.01,17.74,20.98
pearl millet infant food (bajra shishu aahaar),362.44,11.98,6.62,62.1
sajina,345.26,10.81,3.03,66.87
cereal mix,120.81,3.32,2.02,21.84
pulse mix,83.29,3.16,0.54,16.0
shishu ahar,93.37,2.61,1.43,17.42
cereal pulse mix with amylase rice flour,151.57,4.27,2.74,27.8
banana groundnut paste/puree,213.19,4.27,5.45,36.15
rice dal porridge (chawal dal ki khichdi/khichri),383.33,10.8,8.33,65.04
lentils and semolina porridge (dal suji porridge/daliya),117.29,3.26,1.06,23.19
spinach khichri (palak khichri/khichdi),102.18,3.43,1.91,17.35
vegetable mix,174.21,4.7,0.94,36.02
lentils and wheat porridge (dal wheat porridge/daliya ),52.54,2.71,0.94,8.36
maize porridge,89.57,2.14,1.89,15.64
spinach peanut burfi (palak aur mungfali ki burfi),105.37,3.36,4.39,13.59
split bengal gram burfi/fudge (channa dal burfi),287.36,4.65,7.09,54.63
chickpea flour cookies (sweet besan rounds/cookies),207.01,4.29,3.42,39.64
pearl millet mathri (bajra mathri),785.08,1.82,83.12,7.42
sesame biscuit (til ke biscuit),424.03,8.27,19.34,53.65
fermented bengal gram vada (khameerikrit/ufna hua channa dal ka vada),657.57,4.05,67.19,8.68
poshtik namak paras,613.39,6.49,56.58,19.52
soya chikki,423.7,7.18,15.51,62.89
besan bathua chilla/cheela,373.82,11.48,18.57,40.65
wheat flour and nuts ladoos (atta nuts ladoos),391.9,9.46,19.19,44.31
gram flour and semolina dhokla (besan suji dhokla),198.91,8.52,7.1,25.92
atta dal burfi,298.8,6.66,12.47,40.64
soya roti,283.96,9.18,9.23,40.03
poshtik khichdi/khichri,93.37,3.04,1.88,15.64
namkeen daliya,295.11,8.29,7.99,49.32
sprouts upma,316.25,9.5,10.44,44.96
semolina idli (suji/rava idli),206.39,9.34,3.47,33.67
poshtik chilla/cheela,159.53,4.85,3.04,27.47
stuffed bittergourd (dry) (bharwa karela),217.65,1.29,22.38,2.49
cauliflower potato canjee,16.79,0.57,0.39,2.63
creamed spinach,96.91,5.18,6.39,4.44
mango milkshake with ice cream (aam milkshake ice cream ke saath),68.35,1.93,2.8,9.18
pineapple milkshake with ice cream (ananas milkshake ice cream ke saath),68.49,1.93,2.75,9.33
orange milkshake with ice cream (narangi milkshake ice cream ke saath),67.82,1.95,2.75,9.15
woodapple juice (bel ka sharbat),34.18,0.63,0.7,6.51
sattu drink,23.38,0.56,0.14,5.16
apple and honey sorbet (seb aur shehad ka sharbat),121.3,0.15,0.29,30.74
thandai,101.18,3.59,5.89,9.13
cucumber sharbat (kheere ka sharbat),27.28,0.26,0.06,6.64
apple oats chia seed smoothie,85.64,3.49,2.48,13.07
nannari sharbat,88.79,0.01,0.01,23.62
semolina milk drink (thari kanji),44.16,0.98,1.36,6.93
saffron milk (kesariya doodh),102.18,3.17,4.57,12.64
black rice kheer (chak-hao kheer),147.94,4.37,4.91,22.93
coconut kheer (nariyal ki kheer),162.61,3.4,10.55,14.42
apple sago payasam (seb aur sabudana ki kheer),136.5,3.13,7.66,14.4
kesari bath,244.57,2.4,12.59,31.38
putharekulu,318.3,3.66,7.55,59.61
mango malpua,334.64,1.65,30.67,12.84
mango vanilla custard,147.63,3.43,7.04,18.41
kiwi granola pudding,280.99,5.6,15.36,32.33
oats burfi,425.19,8.89,17.27,62.47
lotus seed halwa (kamal gattay ka halwa),370.55,7.79,20.69,39.56
amaranth ladoo (rajgira ladoo),454.15,10.12,22.7,51.33
chhena poda,344.57,13.68,17.94,33.64
sweet couscous dessert,196.2,3.81,7.69,29.69
sweetened yogurt (shrikhand),107.18,5.27,2.89,16.02
thickened sweetened milk (rabri),102.79,3.52,5.35,10.55
gram flour halwa (besan halwa),276.79,5.88,17.3,25.78
prawn sandwich,169.65,10.36,9.27,11.89
watercress sandwich,229.42,5.17,11.47,28.03
fish sandwich,150.2,4.72,10.37,10.09
kidney bean sandwich with cottage cheese,176.64,9.85,6.84,18.86
finger millet biscuit (ragi biscuit),458.56,4.03,25.79,52.69
buttermilk biscuit,322.54,5.76,17.5,34.93
lemon cookies,394.48,5.63,23.02,42.19
sweet potato biscuit (shakarkand ke biscuit),296.4,5.14,13.31,38.13
raspberry shortbread cookies,441.12,3.0,21.25,61.25
pumpkin cookies,218.4,2.51,3.93,44.69
greenpea cookies,159.42,6.53,4.24,23.07
sunflower cookies,520.62,9.49,36.28,40.06
cardamom cookies (elaichi cookies),400.49,5.1,19.12,53.99
hazelnut cookies,493.32,6.25,34.97,39.44
milk cookies,459.43,10.49,24.96,48.43
cranberry cookies,272.48,3.92,12.66,36.39
olive biscuit,438.29,3.2,23.75,55.01
tutti fruitti biscuit,420.78,5.21,17.9,53.12
peach blueberry preserves,177.38,0.53,0.2,45.76
pear preserves (naashpati ka murabba),101.24,0.25,0.19,25.67
starfruit preserves,128.93,0.24,0.12,33.62
gooseberry pickle (amla ka achaar),278.58,1.55,27.61,7.61
lotus stem pickle (kamal kakdi ka achar),102.69,1.44,1.6,20.07
date pickle (khajoor ka achaar),182.29,1.68,4.21,34.66
garlic pickle (lahasun ka achar),413.62,3.72,39.88,9.75
fermented bamboo shoot pickle (mesu pickle),59.83,1.58,5.59,1.73
sweet peach pickle (aadoo ka achaar),144.64,0.46,0.2,37.01
pickled mustard greens,13.12,1.51,0.22,1.05
small onion pickle,16.86,1.65,0.64,2.76
green tomato pickle (haray tamatar ka achaar),193.26,1.23,19.67,2.87
pickled cabbage,13.69,0.39,0.14,2.56
coconut pickle (nariyal ka aachar),517.26,3.02,51.71,11.53
potato pickle (aloo ka achaar),369.14,2.07,36.46,7.87
mango murabba candy,293.35,0.27,0.05,77.32
afghani chicken,151.51,15.66,9.07,1.95
fish orly,563.7,5.87,58.18,4.27
hariyali fish tikka,150.24,14.01,9.41,2.21
chicken manchurian,142.34,9.53,11.96,6.06
handi chicken,166.02,12.32,12.46,1.49
lemon chicken,169.79,20.2,9.66,0.55
lemon butter fish,160.25,16.38,10.26,0.75
baked eggs in tomato sauce,80.05,4.92,5.22,3.78
egg in a pepper,128.78,12.64,8.68,0.17
spinach mushroom scrambled egg (palak mushroom bhurji),158.85,13.28,11.51,0.59
corn omelette/omlet,166.93,11.37,12.89,1.57
cajun chicken,184.94,12.69,13.99,1.94
paaner do pyaza,127.7,4.22,10.87,3.41
cabbage manchurian (pattagobhi manchurian),224.26,0.64,22.48,4.85
gobi 65,278.29,0.56,29.11,3.59
paneer lababdar,105.48,3.98,8.46,3.37
roasted cauliflower steak,78.68,2.05,6.7,2.02
sauteed radishes with green beans,94.32,2.41,6.61,6.04
garlic chutney/poondu chutney (lahasun ki chutney),255.51,3.34,17.55,20.44
schezwan chutney,205.19,3.33,17.72,10.79
onion chutney (pyaaz ki chutney/vengaya chutney),143.94,2.97,8.38,13.52
dates chutney (khajoor ki chutney),103.57,1.07,1.12,21.69
chicken salad,338.19,15.33,30.26,1.3
macaroni salad,262.19,5.02,17.78,21.63
cabbage raita (pattagobhi raita),84.84,3.24,5.76,5.25
pomegranate raita (anaar ka raita),72.64,4.05,3.24,7.15
onion raita (pyaaz ka raita),71.56,4.86,2.43,7.86
green chilli raita (hari mirch ka raita),77.13,5.58,2.92,7.66
kale salad,177.71,4.86,15.33,5.01
spinach and paneer souffle,186.19,7.56,13.49,9.64
masala souffle,123.51,6.38,7.37,8.02
chicken and cheese souffle,182.35,9.07,14.74,3.47
tamarind chutney (chintapandu pachadi/puli chutney),109.15,0.88,0.48,25.07
pav bhaji masala,230.47,9.13,10.96,29.15
green chutney,79.42,5.42,1.6,10.01
sago khitchdi/khichri (sabudana khitchdi/khichri),187.16,2.72,10.1,22.41
gram flour chilla/cheela (besan chilla/cheela),135.93,7.8,2.85,21.03
vegetable namkeen jave,112.23,2.93,2.51,18.98
khakhra,178.5,4.78,5.32,27.66
moong bean dosa (pesarattu),285.96,12.32,11.67,31.91
methi thepla,346.16,8.98,15.95,41.34
rice puttu (ari puttu),81.98,1.26,3.13,11.82
buckwheat pancake (khura),263.3,2.91,16.43,27.28
quinoa khichdi/khichri,64.01,3.18,1.59,8.83
khakhra chaat,358.66,4.52,30.65,16.64
banana appam,469.81,1.17,42.53,20.06
veg manchurian,585.64,0.89,61.65,6.82
pav bhaji,96.53,2.66,4.32,11.99
rice murukku,593.99,5.41,48.22,33.29
bhel puri,509.89,3.52,47.91,16.47
semolina dhokla (suji/rava dhokla),194.91,5.44,5.2,30.86
spicy corn chaat,479.8,4.61,46.55,11.45
jackfruit fritters (ponsa mulik/kathal ka pakora),597.79,2.34,54.41,24.0
banana chips (kele ke chips),665.67,0.37,70.46,7.32
wheat cake,314.63,4.79,14.95,41.13
mango cheesecake,152.46,2.39,7.3,20.06
carrot cake (gajar ka cake),255.59,5.6,10.27,35.98
semolina cake (suji/rava cake),374.14,6.58,25.18,31.32
finger millet cake (ragi cake),279.46,3.96,12.27,38.93
honey cake,333.59,3.08,14.7,49.04
almond cardamom cake (badam elaichi cake),356.35,7.18,21.36,34.53
tutti frutti cake,347.72,4.49,12.68,52.94
ham and bean soup,96.04,10.61,4.15,4.18
whey soup,68.91,3.45,3.34,6.26
bottle gourd soup (ghiya/lauki soup),23.05,0.45,1.79,1.16
baked potato soup,147.05,5.73,11.21,5.85
pumpkin soup,40.05,0.47,3.2,2.08
sweet corn soup,32.25,0.99,1.63,3.56
paneer soup,47.85,3.22,2.8,2.42
curried cauliflower soup,37.32,6.72,9.77,3.12
millet soup,55.99,11.26,12.57,8.22
lemon coriander soup,108.06,2.27,6.26,10.32
garlic soup,194.86,2.38,17.62,6.99
dal makhani,74.04,3.32,3.06,7.96
dalma,118.93,4.91,4.58,15.04
split bengal gram dal (channa dal),99.67,4.15,4.62,9.99
horsegram dal (kulthi dal),55.65,2.91,1.13,8.21
panchmel dal,111.22,4.63,5.36,10.71
dal dhokli,68.74,2.96,2.47,8.55
gujarati handvo,207.09,8.24,4.8,31.86
sev (omapodi/karapusa),609.14,5.12,60.08,12.87
